velocity (km/s),I_data (K),I_fit (K),HINSA_I (K),CNM1_I (K)           ,CNM2_I (K),CNM3_I (K),WNM_I (K),V_data (K),V_fit (K),HINSA_V (K)
26.444430,-0.221329,0.050334,0.000000,0.000000,0.000000,0.000000,0.050334,-0.000620,0.000025,0.000000
26.545070,-0.225425,0.047504,0.000000,0.000000,0.000000,0.000000,0.047504,0.000370,0.000024,0.000000
26.645710,-0.182081,0.044822,0.000000,0.000000,0.000000,0.000000,0.044822,0.004612,0.000023,0.000000
26.746350,-0.186878,0.042282,0.000000,0.000000,0.000000,0.000000,0.042282,0.004841,0.000022,0.000000
26.846990,-0.163624,0.039876,0.000000,0.000000,0.000000,0.000000,0.039876,-0.001938,0.000020,0.000000
26.947630,-0.140680,0.037597,0.000000,0.000000,0.000000,0.000000,0.037597,-0.003984,0.000019,0.000000
27.048270,-0.128296,0.035440,0.000000,0.000000,0.000000,0.000000,0.035440,0.000003,0.000018,0.000000
27.148910,-0.134122,0.033399,0.000000,0.000000,0.000000,0.000000,0.033399,0.000100,0.000017,0.000000
27.249550,-0.094789,0.031467,0.000000,0.000000,0.000000,0.000000,0.031467,-0.004505,0.000016,0.000000
27.350190,-0.067905,0.029640,0.000000,0.000000,0.000000,0.000000,0.029640,-0.001277,0.000015,0.000000
27.450840,-0.063231,0.027912,0.000000,0.000000,0.000000,0.000000,0.027912,0.000638,0.000015,0.000000
