velocity (km/s),HINSAV_data (K),HINSAV_fit (K),CNM1_data (K),CNM1_fit (K),           CNM2_data (K),CNM2_fit (K),CNM3_data (K),CNM3_fit (K),WNM_data (K),WNM_fit (K)
-15.824780,-0.002294,0.000000,-0.002294,0.000000,-0.002294,-0.000000,-0.002294,0.000000,-0.002596,-0.000301
-15.724140,-0.013351,-0.000000,-0.013351,0.000000,-0.013351,-0.000000,-0.013351,0.000000,-0.013664,-0.000313
-15.623500,-0.003372,0.000000,-0.003372,0.000000,-0.003372,-0.000000,-0.003372,0.000000,-0.003697,-0.000326
-15.522860,0.008126,0.000000,0.008126,0.000000,0.008126,-0.000000,0.008126,0.000000,0.007787,-0.000339
-15.422220,0.005148,-0.000000,0.005148,0.000000,0.005148,-0.000000,0.005148,0.000000,0.004796,-0.000352
-15.321580,0.012498,-0.000000,0.012498,0.000000,0.012498,-0.000000,0.012498,0.000000,0.012133,-0.000366
-15.220940,0.015348,-0.000000,0.015348,0.000000,0.015348,-0.000000,0.015348,0.000000,0.014969,-0.000380
-15.120290,0.007078,0.000000,0.007078,0.000000,0.007078,-0.000000,0.007078,0.000000,0.006684,-0.000394
-15.019650,0.003959,0.000000,0.003959,0.000000,0.003959,-0.000000,0.003959,0.000000,0.003550,-0.000409
-14.919010,0.005871,-0.000000,0.005871,0.000000,0.005871,-0.000000,0.005871,0.000000,0.005447,-0.000424
-14.818370,0.006850,0.000000,0.006850,0.000000,0.006850,-0.000000,0.006850,0.000000,0.006410,-0.000440
-14.717730,-0.006584,-0.000000,-0.006584,0.000000,-0.006584,-0.000000,-0.006584,0.000000,-0.007040,-0.000457
-14.617090,-0.012089,-0.000000,-0.012089,0.000000,-0.012089,-0.000000,-0.012089,0.000000,-0.012563,-0.000473
-14.516450,0.003975,0.000000,0.003975,0.000000,0.003975,-0.000000,0.003975,0.000000,0.003484,-0.000491
-14.415810,0.005352,0.000000,0.005352,0.000000,0.005352,-0.000000,0.005352,0.000000,0.004844,-0.000508
-14.315170,-0.011904,0.000000,-0.011904,0.000000,-0.011904,-0.000000,-0.011904,0.000000,-0.012430,-0.000527
-14.214530,-0.015904,0.000000,-0.015904,0.000000,-0.015904,-0.000000,-0.015904,0.000000,-0.016449,-0.000545
-14.113880,0.003138,-0.000000,0.003138,0.000000,0.003138,-0.000000,0.003138,0.000000,0.002573,-0.000565
-14.013240,0.019038,0.000000,0.019038,0.000000,0.019038,-0.000000,0.019038,0.000000,0.018454,-0.000584
-13.912600,0.014110,-0.000000,0.014110,0.000000,0.014110,-0.000000,0.014110,0.000000,0.013505,-0.000605
-13.811960,0.005953,0.000000,0.005953,0.000000,0.005953,-0.000000,0.005953,0.000000,0.005328,-0.000626
-13.711320,0.004759,0.000000,0.004759,0.000000,0.004759,-0.000000,0.004759,0.000000,0.004112,-0.000647
-13.610680,0.002411,-0.000000,0.002411,0.000000,0.002411,-0.000000,0.002411,0.000000,0.001742,-0.000669
-13.510040,0.000297,0.000000,0.000297,0.000000,0.000297,-0.000000,0.000297,0.000000,-0.000394,-0.000691
-13.409400,0.003352,-0.000000,0.003352,0.000000,0.003352,-0.000000,0.003352,0.000000,0.002638,-0.000714
-13.308760,0.005457,0.000000,0.005457,0.000000,0.005457,-0.000000,0.005457,0.000000,0.004719,-0.000738
-13.208120,0.004332,0.000000,0.004332,0.000000,0.004331,-0.000000,0.004332,0.000000,0.003569,-0.000762
-13.107480,0.000154,0.000000,0.000154,0.000000,0.000154,-0.000000,0.000154,0.000000,-0.000633,-0.000787
-13.006830,-0.007665,0.000000,-0.007665,0.000000,-0.007666,-0.000001,-0.007665,0.000000,-0.008477,-0.000812
-12.906190,-0.005803,0.000000,-0.005803,0.000000,-0.005804,-0.000001,-0.005803,0.000000,-0.006641,-0.000838
-12.805550,0.007494,-0.000000,0.007494,0.000000,0.007493,-0.000001,0.007494,0.000000,0.006629,-0.000864
-12.704910,0.009907,-0.000000,0.009907,0.000000,0.009906,-0.000001,0.009907,0.000000,0.009016,-0.000891
-12.604270,0.003992,-0.000000,0.003992,0.000000,0.003991,-0.000001,0.003992,0.000000,0.003073,-0.000919
-12.503630,0.008634,0.000000,0.008634,0.000000,0.008632,-0.000002,0.008634,0.000000,0.007687,-0.000947
-12.402990,0.013381,-0.000000,0.013381,0.000000,0.013379,-0.000002,0.013381,0.000000,0.012405,-0.000976
-12.302350,0.008880,0.000000,0.008880,0.000000,0.008878,-0.000002,0.008880,0.000000,0.007875,-0.001005
-12.201710,0.002765,-0.000000,0.002765,0.000000,0.002762,-0.000003,0.002765,0.000000,0.001730,-0.001035
-12.101070,-0.001891,-0.000000,-0.001891,0.000000,-0.001894,-0.000003,-0.001891,0.000000,-0.002956,-0.001065
-12.000420,-0.001867,-0.000000,-0.001867,0.000000,-0.001871,-0.000004,-0.001867,0.000000,-0.002963,-0.001096
-11.899780,0.002552,0.000000,0.002552,0.000000,0.002547,-0.000005,0.002552,0.000000,0.001424,-0.001128
-11.799140,0.002474,0.000000,0.002474,0.000000,0.002468,-0.000006,0.002474,0.000000,0.001314,-0.001160
